Wed May 19 11:11:44 2010 
NA at 0.04 and 0.27 
NA at 0.04 and 0.28 
NA at 0.04 and 0.29 
NA at 0.04 and 0.3 
NA at 0.04 and 0.31 
NA at 0.04 and 0.32 
NA at 0.04 and 0.33 
NA at 0.04 and 0.34 
NA at 0.04 and 0.35 
NA at 0.04 and 0.36 
NA at 0.04 and 0.37 
NA at 0.04 and 0.38 
NA at 0.04 and 0.39 
NA at 0.04 and 0.4 
when gamma =  0.3 
NA at 0.03 and 0 
NA at 0.03 and 0.01 
NA at 0.03 and 0.02 
NA at 0.03 and 0.03 
NA at 0.03 and 0.04 
NA at 0.03 and 0.05 
NA at 0.03 and 0.06 
NA at 0.03 and 0.07 
NA at 0.03 and 0.08 
NA at 0.03 and 0.09 
NA at 0.03 and 0.1 
NA at 0.03 and 0.11 
NA at 0.03 and 0.12 
NA at 0.03 and 0.13 
NA at 0.03 and 0.14 
NA at 0.03 and 0.15 
NA at 0.03 and 0.16 
NA at 0.03 and 0.17 
NA at 0.03 and 0.18 
NA at 0.03 and 0.19 
NA at 0.03 and 0.2 
NA at 0.03 and 0.21 
NA at 0.03 and 0.22 
NA at 0.03 and 0.23 
NA at 0.03 and 0.24 
NA at 0.03 and 0.25 
NA at 0.03 and 0.26 
NA at 0.03 and 0.27 
NA at 0.03 and 0.28 
NA at 0.03 and 0.29 
NA at 0.03 and 0.3 
NA at 0.03 and 0.31 
NA at 0.03 and 0.32 
NA at 0.03 and 0.33 
NA at 0.03 and 0.34 
NA at 0.03 and 0.35 
NA at 0.03 and 0.36 
NA at 0.03 and 0.37 
NA at 0.03 and 0.38 
NA at 0.03 and 0.39 
NA at 0.03 and 0.4 
when gamma =  0.4 
NA at 0.02 and 0 
NA at 0.02 and 0.01 
NA at 0.02 and 0.02 
NA at 0.02 and 0.03 
NA at 0.02 and 0.04 
NA at 0.02 and 0.05 
NA at 0.02 and 0.06 
NA at 0.02 and 0.07 
NA at 0.02 and 0.08 
NA at 0.02 and 0.09 
NA at 0.02 and 0.1 
NA at 0.02 and 0.11 
NA at 0.02 and 0.12 
NA at 0.02 and 0.13 
NA at 0.02 and 0.14 
NA at 0.02 and 0.15 
NA at 0.02 and 0.16 
NA at 0.02 and 0.17 
NA at 0.02 and 0.18 
NA at 0.02 and 0.19 
NA at 0.02 and 0.2 
NA at 0.02 and 0.21 
NA at 0.02 and 0.22 
NA at 0.02 and 0.23 
NA at 0.02 and 0.24 
NA at 0.02 and 0.25 
NA at 0.02 and 0.26 
NA at 0.02 and 0.27 
NA at 0.02 and 0.28 
NA at 0.02 and 0.29 
NA at 0.02 and 0.3 
NA at 0.02 and 0.31 
NA at 0.02 and 0.32 
NA at 0.02 and 0.33 
NA at 0.02 and 0.34 
NA at 0.02 and 0.35 
NA at 0.02 and 0.36 
NA at 0.02 and 0.37 
NA at 0.02 and 0.38 
NA at 0.02 and 0.39 
NA at 0.02 and 0.4 
when gamma =  0.5 
NA at 0.02 and 0 
NA at 0.02 and 0.01 
NA at 0.02 and 0.02 
NA at 0.02 and 0.03 
NA at 0.02 and 0.04 
NA at 0.02 and 0.05 
NA at 0.02 and 0.06 
NA at 0.02 and 0.07 
NA at 0.02 and 0.08 
NA at 0.02 and 0.09 
NA at 0.02 and 0.1 
NA at 0.02 and 0.11 
NA at 0.02 and 0.12 
NA at 0.02 and 0.13 
NA at 0.02 and 0.14 
NA at 0.02 and 0.15 
NA at 0.02 and 0.16 
NA at 0.02 and 0.17 
NA at 0.02 and 0.18 
NA at 0.02 and 0.19 
NA at 0.02 and 0.2 
NA at 0.02 and 0.21 
NA at 0.02 and 0.22 
NA at 0.02 and 0.23 
NA at 0.02 and 0.24 
NA at 0.02 and 0.25 
NA at 0.02 and 0.26 
NA at 0.02 and 0.27 
NA at 0.02 and 0.28 
NA at 0.02 and 0.29 
NA at 0.02 and 0.3 
NA at 0.02 and 0.31 
NA at 0.02 and 0.32 
NA at 0.02 and 0.33 
NA at 0.02 and 0.34 
NA at 0.02 and 0.35 
NA at 0.02 and 0.36 
NA at 0.02 and 0.37 
NA at 0.02 and 0.38 
NA at 0.02 and 0.39 
NA at 0 and 0.4 
when gamma =  0.6 
NA at 0.02 and 0 
NA at 0.02 and 0.01 
NA at 0.02 and 0.02 
NA at 0.02 and 0.03 
NA at 0.02 and 0.04 
NA at 0.02 and 0.05 
NA at 0.02 and 0.06 
NA at 0.02 and 0.07 
NA at 0.02 and 0.08 
NA at 0.02 and 0.09 
NA at 0.02 and 0.1 
NA at 0.02 and 0.11 
NA at 0.02 and 0.12 
NA at 0.02 and 0.13 
NA at 0.02 and 0.14 
NA at 0.02 and 0.15 
NA at 0.02 and 0.16 
NA at 0.02 and 0.17 
NA at 0.02 and 0.18 
NA at 0.02 and 0.19 
NA at 0.02 and 0.2 
NA at 0.02 and 0.21 
NA at 0.02 and 0.22 
NA at 0.02 and 0.23 
NA at 0.02 and 0.24 
NA at 0.02 and 0.25 
NA at 0.02 and 0.26 
NA at 0.02 and 0.27 
NA at 0.02 and 0.28 
NA at 0.02 and 0.29 
NA at 0.02 and 0.3 
NA at 0.02 and 0.31 
NA at 0.02 and 0.32 
NA at 0.02 and 0.33 
NA at 0.02 and 0.34 
NA at 0.02 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  0.7 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0.01 and 0.19 
NA at 0.01 and 0.2 
NA at 0.01 and 0.21 
NA at 0.01 and 0.22 
NA at 0.01 and 0.23 
NA at 0.01 and 0.24 
NA at 0.01 and 0.25 
NA at 0.01 and 0.26 
NA at 0.01 and 0.27 
NA at 0.01 and 0.28 
NA at 0.01 and 0.29 
NA at 0.01 and 0.3 
NA at 0.01 and 0.31 
NA at 0.01 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  0.8 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0.01 and 0.19 
NA at 0.01 and 0.2 
NA at 0.01 and 0.21 
NA at 0.01 and 0.22 
NA at 0.01 and 0.23 
NA at 0.01 and 0.24 
NA at 0.01 and 0.25 
NA at 0.01 and 0.26 
NA at 0.01 and 0.27 
NA at 0.01 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  0.9 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0.01 and 0.19 
NA at 0.01 and 0.2 
NA at 0.01 and 0.21 
NA at 0.01 and 0.22 
NA at 0.01 and 0.23 
NA at 0.01 and 0.24 
NA at 0.01 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0.01 and 0.19 
NA at 0.01 and 0.2 
NA at 0.01 and 0.21 
NA at 0.01 and 0.22 
NA at 0.01 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.1 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0.01 and 0.19 
NA at 0.01 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.2 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0.01 and 0.17 
NA at 0.01 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.3 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0.01 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.4 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0.01 and 0.14 
NA at 0.01 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.5 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0.01 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.6 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0.01 and 0.11 
NA at 0.01 and 0.12 
NA at 0 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.7 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0.01 and 0.1 
NA at 0 and 0.11 
NA at 0 and 0.12 
NA at 0 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.8 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0.01 and 0.09 
NA at 0 and 0.1 
NA at 0 and 0.11 
NA at 0 and 0.12 
NA at 0 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  1.9 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0.01 and 0.08 
NA at 0 and 0.09 
NA at 0 and 0.1 
NA at 0 and 0.11 
NA at 0 and 0.12 
NA at 0 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
when gamma =  2 
NA at 0.01 and 0 
NA at 0.01 and 0.01 
NA at 0.01 and 0.02 
NA at 0.01 and 0.03 
NA at 0.01 and 0.04 
NA at 0.01 and 0.05 
NA at 0.01 and 0.06 
NA at 0.01 and 0.07 
NA at 0 and 0.08 
NA at 0 and 0.09 
NA at 0 and 0.1 
NA at 0 and 0.11 
NA at 0 and 0.12 
NA at 0 and 0.13 
NA at 0 and 0.14 
NA at 0 and 0.15 
NA at 0 and 0.16 
NA at 0 and 0.17 
NA at 0 and 0.18 
NA at 0 and 0.19 
NA at 0 and 0.2 
NA at 0 and 0.21 
NA at 0 and 0.22 
NA at 0 and 0.23 
NA at 0 and 0.24 
NA at 0 and 0.25 
NA at 0 and 0.26 
NA at 0 and 0.27 
NA at 0 and 0.28 
NA at 0 and 0.29 
NA at 0 and 0.3 
NA at 0 and 0.31 
NA at 0 and 0.32 
NA at 0 and 0.33 
NA at 0 and 0.34 
NA at 0 and 0.35 
NA at 0 and 0.36 
NA at 0 and 0.37 
NA at 0 and 0.38 
NA at 0 and 0.39 
NA at 0 and 0.4 
cross validation 2 :
when gamma =  0 
NA at 0.08 and 0 
NA at 0.08 and 0.01 
NA at 0.08 and 0.02 
NA at 0.08 and 0.03 
NA at 0.08 and 0.04 
NA at 0.08 and 0.05 
NA at 0.08 and 0.06 
NA at 0.08 and 0.07 
NA at 0.08 and 0.08 
NA at 0.08 and 0.09 
NA at 0.08 and 0.1 
NA at 0.08 and 0.11 
NA at 0.08 and 0.12 
NA at 0.08 and 0.13 
NA at 0.08 and 0.14 
